Title,Price,Brand,Model,Condition,Type,Description,URL
Featured,1000,Dell,,Used,Laptop,"HP Pavilion 15 - Gaming Laptop Sukkur Township, Sukkur•3 days ago Call Chat",https://www.olx.com.pk/item/hp-pavilion-15-gaming-laptop-iid-1109487369
Featured,59000,Dell,,Used,Laptop,"Dell Latitude 5410 (i5 10th Generation) Others, Gujranwala•1 week ago Call Chat",https://www.olx.com.pk/item/dell-latitude-5410-i5-10th-generation-iid-1109240071
Featured,1000,Dell,,Used,Laptop,"Dell G15 5511 G series Corei7-11 Generation/Gaming Laptop 9th Avenue, Islamabad•1 week ago Call Chat",https://www.olx.com.pk/item/dell-g15-5511-g-series-corei7-11-generationgaming-laptop-iid-1109252610
Featured,32999,Dell,,Used,Laptop,"FUJITSU CORE I5 8TH GEN Gulberg, Lahore•3 weeks ago Call Chat",https://www.olx.com.pk/item/fujitsu-core-i5-8th-gen-iid-1108859279
Featured,18000,Dell,,Used,Laptop,"warranty 90 days I 5 second generation Allahwala Town, Karachi•13 hours ago Call Chat",https://www.olx.com.pk/item/warranty-90-days-i-5-second-generation-iid-1109574492
Featured,1000,Dell,,Used,Laptop,"HP Elite Dragonfly G2 x360 corei5-11| 16 GB| 256 E-8, Islamabad•3 days ago Call Chat",https://www.olx.com.pk/item/hp-elite-dragonfly-g2-x360-corei5-11-16-gb-256-iid-1109506508
Featured,6000,Dell,,Used,Laptop,"Lenovo Legion Pro 5|1 Year Warranty|32 GB RAM |1 TB SSD|8GB RTX 5070 Scheme 33, Karachi•5 days ago Chat",https://www.olx.com.pk/item/lenovo-legion-pro-51-year-warranty32-gb-ram-1-tb-ssd8gb-rtx-5070-iid-1108701474
Featured,1000,Dell,,Used,Laptop,"Dell Laptop i5 13th Gen Touchscreen 15 inches Display Latitude 5540 Shadman Town, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/dell-laptop-i5-13th-gen-touchscreen-15-inches-display-latitude-5540-iid-1109176056
Featured,80000,Dell,,Used,Laptop,"Lenovo ThinkBook 15-IIL Core i5-10 | 16 Gb | 256 ssd Burma Town, Islamabad•3 days ago Call Chat",https://www.olx.com.pk/item/lenovo-thinkbook-15-iil-core-i5-10-16-gb-256-ssd-iid-1107391822
Delivery,11000,Dell,,Used,Laptop,"Mamen 200R RGB LED Light Stick Wand with Remote Control | Ideal for Events, Parties, and Home Decoration",https://www.olx.com.pk/item/mamen-200r-rgb-led-light-stick-wand-with-remote-control-ideal-for-events-parties-and-home-decoration-iid-ev480991-1
Delivery,8000,Dell,,Used,Laptop,SwivelSmart 23-55Tilt TV Wall Mount - SH44T,https://www.olx.com.pk/item/swivelsmart-23-55tilt-tv-wall-mount-sh44t-iid-ev481081-1
Delivery,47999,Dell,,Used,Laptop,High-Quality TV Mount Trolley - Fits 55-90 inch LED LCD Plasma TVs | AVA1800-70-1P with AV Shelf and Camera Tray,https://www.olx.com.pk/item/high-quality-tv-mount-trolley-fits-55-90-inch-led-lcd-plasma-tvs-ava1800-70-1p-with-av-shelf-and-camera-tray-iid-ev481072-1
Delivery,14999,Dell,,Used,Laptop,Upgrade Your Viewing Experience with NB T560-15 Ceiling Mount for 32-70 Inch TV,https://www.olx.com.pk/item/upgrade-your-viewing-experience-with-nb-t560-15-ceiling-mount-for-32-70-inch-tv-iid-ev481074-1
Delivery,2599,Dell,,Used,Laptop,"Rs 4,599 43% HDL 117B 2 China Factory Full Motion Adjustable LCD LED 14-55"" TV Wall Mount TV Stand Holder",https://www.olx.com.pk/item/hdl-117b-2-china-factory-full-motion-adjustable-lcd-led-14-55-tv-wall-mount-tv-stand-holder-iid-ev481064-1
Delivery,3850,Dell,,Used,Laptop,"Rs 5,000 23% 14"" -42"" LED/LCD/PDP Flat Panel Tv Wall Mount Wall Bracket cp 302",https://www.olx.com.pk/item/14-42-led-lcd-pdp-flat-panel-tv-wall-mount-wall-bracket-cp-302-iid-ev481077-1
Delivery,14500,Dell,,Used,Laptop,"Upgrade Your Viewing Setup with F150 Gas Strut Flexi Wall Mount - Perfect for 17"" to 35"" Monitors and LCD/LED TVs, Supports 10 Kgs Load Capacity",https://www.olx.com.pk/item/upgrade-your-viewing-setup-with-f150-gas-strut-flexi-wall-mount-perfect-for-17-to-35-monitors-and-lcd-led-tvs-supports-10-kgs-load-capacity-iid-ev481041-1
Delivery,9999,Dell,,Used,Laptop,Transform Your Space with 076-2 Ceiling TV Mount for 26-55 Inch TVs,https://www.olx.com.pk/item/transform-your-space-with-076-2-ceiling-tv-mount-for-26-55-inch-tvs-iid-ev481069-1
Delivery,26999,Dell,,Used,Laptop,"TL-1700 Mobile TV Bracket, Rooling TV Stand with Wheels for 32 to 70 Inch LCD LED OLED (Black)",https://www.olx.com.pk/item/tl-1700-mobile-tv-bracket-rooling-tv-stand-with-wheels-for-32-to-70-inch-lcd-led-oled-black-iid-ev481047-1
Featured,55000,Dell,,Good,Laptop,"Dell Latitude 7390 2-in-1 (Touch Screen) for Sale | Clean Condition Khalid Bin Walid Road, Karachi•13 hours ago Call Chat",https://www.olx.com.pk/item/dell-latitude-7390-2-in-1-touch-screen-for-sale-clean-condition-iid-1109545155
Featured,76900,Dell,,Used,Laptop,"HP Probook 445G7 Ryzen 7 4700U = i7 11th Gen 16GB RAM 256GB SSD ! Saddar, Rawalpindi•1 week ago Call Chat",https://www.olx.com.pk/item/hp-probook-445g7-ryzen-7-4700u-i7-11th-gen-16gb-ram-256gb-ssd-iid-1109325173
Featured,1000,Dell,,Used,Laptop,"Hp Elitebook | 650 G9 Core i5 12th Genration | 16GB RAM | imported Cavalry Ground, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/hp-elitebook-650-g9-core-i5-12th-genration-16gb-ram-imported-iid-1107180677
Featured,53000,Dell,,Used,Laptop,"Lenovo L14 core i5 11th gen G7 8gb ram 256gb ssd Sabzazar, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/lenovo-l14-core-i5-11th-gen-g7-8gb-ram-256gb-ssd-iid-1107827726
Featured,35000,Dell,,Used,Laptop,"Laptops for sale Cantt, Multan•12 hours ago Call Chat",https://www.olx.com.pk/item/laptops-for-sale-iid-1109574308
Featured,1000,Dell,,Used,Laptop,"Microsoft Surface Laptop 4 i7 | 16Gb | 256Gb | 13.5"" touch screen Model Colony, Rawalpindi•2 weeks ago Call Chat",https://www.olx.com.pk/item/microsoft-surface-laptop-4-i7-16gb-256gb-135-touch-screen-iid-1108881304
Featured,1000,Dell,,Used,Laptop,"Dell Laptop i5 13th Gen Touchscreen 15 inches Display Latitude 5540 Shadman Town, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/dell-laptop-i5-13th-gen-touchscreen-15-inches-display-latitude-5540-iid-1109176056
Featured,14500,Dell,,Used,Laptop,"Lenovo chromebook | touchscreen | chrome OS laptop | 360° Flip | 32GB Scheme 33, Karachi•3 weeks ago Call Chat",https://www.olx.com.pk/item/lenovo-chromebook-touchscreen-chrome-os-laptop-360-flip-32gb-iid-1109036305
Featured,94000,Dell,,Used,Laptop,"Dell Precision 5520 | Core i5 7th Gen | 16GB RAM | 256GB SSD Saddar, Lahore•4 days ago Call Chat",https://www.olx.com.pk/item/dell-precision-5520-core-i5-7th-gen-16gb-ram-256gb-ssd-iid-1108774889
Delivery,2400,Dell,,Used,Laptop,Adjustable metal stands 2pcs grey KBN-16,https://www.olx.com.pk/item/adjustable-metal-stands-2pcs-grey-kbn-16-iid-ev481045-1
Delivery,3000,Dell,,Used,Laptop,"Rs 5,000 40% Projector Ceiling Mount 43cm-65cm, LED/LCD/DLP Projector Bracket",https://www.olx.com.pk/item/projector-ceiling-mount-43cm-65cm-led-lcd-dlp-projector-bracket-iid-ev481052-1
Delivery,11000,Dell,,Used,Laptop,DynamicView 70X Full Motion TV Mount Fits 45 to 70 LED TVs NB 767-L600,https://www.olx.com.pk/item/dynamicview-70x-full-motion-tv-mount-fits-45-to-70-led-tvs-nb-767-l600-iid-ev481083-1
Delivery,8500,Dell,,Used,Laptop,"Rs 15,999 47% RF26-65 inch LCD LED Monitor Flat Panel Screen Displays Tilt",https://www.olx.com.pk/item/rf26-65-inch-lcd-led-monitor-flat-panel-screen-displays-tilt-iid-ev481067-1
